"","DEgenes"
"1","PP_1185"
"2","PP_1186"
"3","PP_3416"
"4","PP_3417"
"5","PP_4621"
"6","PP_4947"
"7","PP_5502"
"8","PP_5458"
"9","PP_1187"
"10","PP_4620"
"11","PP_2052"
"12","PP_1662"
"13","PP_1273"
"14","PP_0868"
"15","PP_1272"
"16","PP_1750"
"17","PP_3418"
"18","PP_1271"
"19","PP_1749"
"20","PP_0870"
"21","PP_5500"
"22","PP_1748"
"23","PP_2793"
"24","PP_4557"
"25","PP_0284"
"26","PP_0869"
"27","PP_0871"
"28","PP_0944"
"29","PP_0945"
"30","PP_0946"
"31","PP_1400"
"32","PP_2453"
"33","PP_2791"
"34","PP_2794"
"35","PP_2795"
"36","PP_2901"
"37","PP_3591"
"38","PP_3593"
"39","PP_3594"
"40","PP_3595"
"41","PP_3596"
"42","PP_3597"
"43","PP_3796"
"44","PP_3807"
"45","PP_3808"
"46","PP_4106"
"47","PP_4215"
"48","PP_4218"
"49","PP_4219"
"50","PP_4222"
"51","PP_4223"
"52","PP_4242"
"53","PP_4243"
"54","PP_4245"
"55","PP_4490"
"56","PP_4666"
"57","PP_4667"
"58","PP_5257"
"59","PP_5258"
"60","PP_2792"
"61","PP_0504"
"62","PP_1743"
"63","PP_3122"
"64","PP_3145"
"65","PP_3433"
"66","PP_4491"
"67","PP_3553"
"68","PP_2206"
"69","PP_1121"
"70","PP_3611"
"71","PP_1149"
"72","PP_3434"
"73","PP_1742"
"74","PP_3376"
"75","PP_2361"
"76","PP_2359"
"77","PP_3377"
"78","PP_3378"
"79","PP_4604"
"80","PP_3379"
"81","PP_0008"
"82","PP_0056"
"83","PP_0057"
"84","PP_0103"
"85","PP_0104"
"86","PP_0105"
"87","PP_0106"
"88","PP_0107"
"89","PP_0108"
"90","PP_0109"
"91","PP_0110"
"92","PP_0185"
"93","PP_0296"
"94","PP_0297"
"95","PP_0308"
"96","PP_0309"
"97","PP_0310"
"98","PP_0311"
"99","PP_0312"
"100","PP_0313"
"101","PP_0315"
"102","PP_0316"
"103","PP_0328"
"104","PP_0357"
"105","PP_0386"
"106","PP_0395"
"107","PP_0396"
"108","PP_0397"
"109","PP_0449"
"110","PP_0450"
"111","PP_0451"
"112","PP_0454"
"113","PP_0455"
"114","PP_0456"
"115","PP_0457"
"116","PP_0459"
"117","PP_0468"
"118","PP_0469"
"119","PP_0470"
"120","PP_0471"
"121","PP_0472"
"122","PP_0536"
"123","PP_0550"
"124","PP_0552"
"125","PP_0553"
"126","PP_0554"
"127","PP_0555"
"128","PP_0557"
"129","PP_0575"
"130","PP_0613"
"131","PP_0633"
"132","PP_0654"
"133","PP_0655"
"134","PP_0679"
"135","PP_0688"
"136","PP_0712"
"137","PP_0713"
"138","PP_0714"
"139","PP_0715"
"140","PP_0716"
"141","PP_0757"
"142","PP_0765"
"143","PP_0766"
"144","PP_0806"
"145","PP_0813"
"146","PP_0862"
"147","PP_0905"
"148","PP_0907"
"149","PP_1033"
"150","PP_1084"
"151","PP_1110"
"152","PP_1111"
"153","PP_1122"
"154","PP_1144"
"155","PP_1154"
"156","PP_1192"
"157","PP_1193"
"158","PP_1249"
"159","PP_1291"
"160","PP_1308"
"161","PP_1316"
"162","PP_1360"
"163","PP_1361"
"164","PP_1364"
"165","PP_1463"
"166","PP_1464"
"167","PP_1478"
"168","PP_1486"
"169","PP_1504"
"170","PP_1591"
"171","PP_1631"
"172","PP_1640"
"173","PP_1659"
"174","PP_1660"
"175","PP_1661"
"176","PP_1726"
"177","PP_1741"
"178","PP_1811"
"179","PP_1840"
"180","PP_1934"
"181","PP_2006"
"182","PP_2260"
"183","PP_2261"
"184","PP_2264"
"185","PP_2326"
"186","PP_2357"
"187","PP_2358"
"188","PP_2360"
"189","PP_2362"
"190","PP_2389"
"191","PP_2422"
"192","PP_2438"
"193","PP_2446"
"194","PP_2569"
"195","PP_2572"
"196","PP_2573"
"197","PP_2578"
"198","PP_2662"
"199","PP_2663"
"200","PP_2664"
"201","PP_2665"
"202","PP_2666"
"203","PP_2667"
"204","PP_2668"
"205","PP_2669"
"206","PP_2671"
"207","PP_2672"
"208","PP_2673"
"209","PP_2674"
"210","PP_2675"
"211","PP_2676"
"212","PP_2677"
"213","PP_2678"
"214","PP_2679"
"215","PP_2680"
"216","PP_2681"
"217","PP_2853"
"218","PP_2925"
"219","PP_2941"
"220","PP_2942"
"221","PP_2943"
"222","PP_2944"
"223","PP_2945"
"224","PP_3081"
"225","PP_3126"
"226","PP_3127"
"227","PP_3128"
"228","PP_3129"
"229","PP_3134"
"230","PP_3135"
"231","PP_3136"
"232","PP_3139"
"233","PP_3142"
"234","PP_3156"
"235","PP_3305"
"236","PP_3414"
"237","PP_3419"
"238","PP_3420"
"239","PP_3421"
"240","PP_3449"
"241","PP_3507"
"242","PP_3508"
"243","PP_3517"
"244","PP_3746"
"245","PP_3747"
"246","PP_3765"
"247","PP_3814"
"248","PP_4010"
"249","PP_4012"
"250","PP_4034"
"251","PP_4035"
"252","PP_4044"
"253","PP_4185"
"254","PP_4186"
"255","PP_4187"
"256","PP_4189"
"257","PP_4191"
"258","PP_4192"
"259","PP_4193"
"260","PP_4207"
"261","PP_4264"
"262","PP_4279"
"263","PP_4282"
"264","PP_4310"
"265","PP_4362"
"266","PP_4363"
"267","PP_4364"
"268","PP_4418"
"269","PP_4521"
"270","PP_4564"
"271","PP_4578"
"272","PP_4593"
"273","PP_4605"
"274","PP_4685"
"275","PP_4712"
"276","PP_4713"
"277","PP_4793"
"278","PP_4851"
"279","PP_4867"
"280","PP_4888"
"281","PP_4959"
"282","PP_5007"
"283","PP_5239"
"284","PP_5282"
"285","PP_5313"
"286","PP_5319"
"287","PP_5427"
"288","PP_5433"
"289","PP_5538"
"290","PP_5540"
"291","PP_5588"
"292","PP_5613"
"293","PP_5678"
"294","PP_0805"
"295","PP_4411"
"296","PP_0458"
"297","PP_1858"
"298","PP_0614"
"299","PP_3748"
"300","PP_0453"
"301","PP_0389"
"302","PP_0615"
"303","PP_0009"
"304","PP_3735"
"305","PP_0616"
"306","PP_5087"
"307","PP_0689"
"308","PP_0619"
"309","PP_0710"
"310","PP_4426"
"311","PP_0556"
"312","PP_0617"
"313","PP_0618"
"314","PP_0153"
"315","PP_0294"
"316","PP_0295"
"317","PP_0322"
"318","PP_0323"
"319","PP_0324"
"320","PP_0325"
"321","PP_0326"
"322","PP_0327"
"323","PP_0943"
"324","PP_1112"
"325","PP_2351"
"326","PP_2387"
"327","PP_2388"
"328","PP_2411"
"329","PP_2567"
"330","PP_3247"
"331","PP_4066"
"332","PP_4251"
"333","PP_4756"
"334","PP_5130"
"335","PP_5659"
"336","PP_4252"
